Term,Translation,Context,Reference,Comment,Reference translation
commons.learn.more,Mehr erfahren…,Put anywhere the user can learn more by clicking on a link.,,,
commons.powered.by.surveycto,Powered by {0},"SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,,
web.forms.page.delete.instances.confirmation.message,"Sind Sie sicher, dass Sie diese Vorlage löschen wollen?","Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,
web.forms.page.delete.instances.confirmation.negative.button,Nicht löschen,"Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,,
web.forms.page.delete.instances.confirmation.positive.button,"Ja, löschen","Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,,
web.forms.page.delete.instances.confirmation.title,Löschen bestätigen,"Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,
web.forms.page.delete.instances.header,Zu löschende Vorlage auswählen:,Header for list of filled-out forms that can be deleted.,,,
web.forms.page.delete.instances.title,Gespeicherte Vorlage löschen,Title for list of filled-out forms that can be deleted.,,,
web.forms.page.edit.instances.header,"Eine gespeicherte Vorlage wählen, um mit dem Bearbeiten fortzufahren:",Header for list of saved forms that can be resumed.,,,
web.forms.page.edit.instances.title,Liste gespeicherter Vorlagen:,Title for list of saved forms that can be resumed.,,,
web.forms.page.error.traffic.jam,Stau! Leider konnten wir Ihre Anfrage nicht verarbeiten. Bitte versuchen Sie es erneut oder laden Sie die Seite neu. (Details: {0}),This is the error message that can appear if the server becomes temporarily overloaded. {0} gets replaced with details about the error and must be included in your translation.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.audio.select.file.button,Audiodatei auswählen,Button for selecting an audio file.,,,
web.forms.page.filling.banner.tooltip,{0} (version: {1}),Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.,,,
web.forms.page.filling.binary.error.large.file,"Leider können Sie keine Datei anhängen, die größer als {0}MB ist. Bitte wählen Sie eine kleinere Datei, um fortzufahren.",Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.,,,
web.forms.page.filling.file.current.selection.label,Aktuelle Auswahl,This is the text that appears immediately before the selected file name once you've made a selection in a file field.,,,
web.forms.page.filling.file.select.different.button,Eine andere Datei auswählen,This is the button label once you've made a selection in a file field.,,,
web.forms.page.filling.file.select.file.button,Datei auswählen,This is the default button label in a file field before you've made a selection.,,,
web.forms.page.filling.generic.error.filetype.name.audio,Audio,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.filetype.name.file,Datei,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.filetype.name.image,Bild,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.filetype.name.video,Video,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.invalid.file.type,"Die Datei ""{0}"" ist keine valide {1}-Datei. Valide Dateiendungen sind: ",This is the error message that appears when you attempt to upload an invalid file type. {0} gets replaced with the filename of the file you're attempting to upload. {1} gets replaced with the expected file type in the current language. Both {0} and {1} must be included in your translation. A list of allowable file extensions (in English) are added to the end of this message.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.invalid.file.type.executable,Leider können Sie aus Sicherheitsgründen keine ausführbare Datei hochladen.,This is the error that appears when you try and upload an executable file.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.invalid.file.type.mime,Dieser Dateityp ist leider nicht erlaubt ({0}).,"This is the error message that appears when you attempt to upload a file that is disallowed by the defined MIME types. {0} gets replaced with the supplied invalid file type, and must be included in your translation.",,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.invalid.response,Diese Antwort ist leider ungültig!,This is the error message that appears when the response violates the constraint for the field.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.missing.media,"Die Mediendatei ""{0}"" fehlt.","This is the text that appears if a field is supposed to show a media file, but that media file is missing. {0} gets replaced with the filename of the missing media file and must be included in your translation.",,Added in SCTO_v2.70.8.,
web.forms.page.filling.generic.error.required,"Tut uns leid, diese Antwort ist erforderlich!",This is the error that appears when you try and move past a required field without entering a response.,,Added in SCTO_v2.70.8.,
web.forms.page.filling.geopoint.accuracy,Genauigkeit,This is the text that appears immediately before the accuracy value once you've recorded your location in a geo field.,,,
web.forms.page.filling.geopoint.altitude,Höhe,This is the text that appears immediately before the altitude value once you've recorded your location in a geo field.,,,
web.forms.page.filling.geopoint.error.geolocation.not.supported,Standorterfassung wird von diesem Browser nicht unterstützt.,Error message that appears when a geopoint field is shown in a browser that does not support location services.,,,
web.forms.page.filling.geopoint.error.not.available,Standortinformationen nicht verfügbar.,Error message that appears when a geopoint field is shown in a browser and location services are not available (possibly because the user has disabled location services or declined to give permission).,,,
web.forms.page.filling.geopoint.error.permission.denied,"Konnte den Standort nicht erfassen (Zugriff verweigert). Eventuell müssen Sie die Sicherheitseinstellungen Ihres Browsers ändern, um den Zugriff auf Ihren Standort zu ermöglichen.",Error message that appears when a geopoint field is shown in a browser and location services are not available because of security settings or the user has declined to give permission.,,,
